symbol,name,current,percent,volume,amount
SZ301387,光大同创,40.36,20.01,11178120,429751951.6
SZ301008,宏昌科技,27.54,20.0,12359659,320378402.25
SH688667,菱电电控,54.9,20.0,2364320,125597991.0
SZ300005,探路者,10.15,19.98,165876637,1646570092.59
SZ300366,创意信息,7.16,19.93,52676001,366306853.16
SH688280,精进电动-UW,6.98,19.93,57056537,377325774.0
SZ300879,大叶股份,28.4,17.07,54256211,1424030282.49
SZ300125,*ST聆达,6.8,16.44,18216912,116000360.84
SH688580,伟思医疗,51.38,16.38,8025239,390144439.0
SH688205,德科立,59.7,15.41,12683859,719187239.0
SH688588,凌志软件,14.25,14.46,30762823,429305150.0
SH688411,海博思创,74.31,13.61,5108791,370982251.0
SH688590,新致软件,22.52,13.39,16851119,373771367.0
SZ301550,斯菱股份,118.9,13.24,6673759,757058619.65
SH688499,利元亨,27.06,12.89,12720880,338221784.0
SZ300946,恒而达,35.8,12.58,9392175,330165391.31
SH688018,乐鑫科技,218.0,12.16,6408114,1367194267.0
SZ300972,万辰集团,164.75,12.07,6189461,999789973.75
SZ300281,金明精机,6.79,11.31,57374391,385428814.43
SZ300258,精锻科技,13.32,11.28,52823108,673757544.04
SZ301260,格力博,15.78,10.66,22321663,343540562.91
SZ300911,亿田智能,50.25,10.61,14462421,744120171.16
SH688678,福立旺,21.49,10.15,17423832,366445307.0
SH600340,华夏幸福,2.39,10.14,251303349,585364907.0
SH603839,安正时尚,5.78,10.1,6552680,37512779.0
SZ000016,深康佳A,5.45,10.1,62255990,337072501.88
SH600735,新华锦,5.69,10.06,35371435,195645516.0
SH600743,华远地产,1.86,10.06,55239049,101474127.0
SZ000565,渝三峡A,7.55,10.06,124399080,921283380.37
SH600774,汉商集团,8.98,10.05,7821176,70234160.0
SH603123,翠微股份,8.43,10.05,22317100,186245612.0
SZ002164,宁波东力,8.99,10.04,105223283,898303520.76
SZ000665,湖北广电,4.93,10.04,65277979,309381144.91
SH603863,松炀资源,13.04,10.04,10783600,135629495.0
SZ002664,信质集团,17.23,10.03,24739500,408488427.99
SH603586,金麒麟,16.9,10.03,20098719,326101803.0
SH603616,韩建河山,3.51,10.03,22071900,75965418.0
SZ002730,电光科技,15.8,10.03,6688980,105685884.0
SZ002355,兴民智通,6.26,10.02,11068802,69290700.52
SH603922,金鸿顺,19.21,10.02,5027260,93842796.0
SZ002491,通鼎互联,4.61,10.02,21776245,100338343.45
SZ002436,兴森科技,12.52,10.02,117091410,1412869489.94
SZ002272,川润股份,9.77,10.02,61664359,588047221.46
SZ002286,保龄宝,9.22,10.02,37671740,341297392.93
